Area,Total_Population,Farm_Gate_Emissions,Logistics_Processing_Emissions,Consumer_Retail_Emissions,Industrial_Emissions,Total_Food_System_Emissions,Farm_Gate_Share,Logistics_Processing_Share,Consumer_Retail_Share,Industrial_Share,Cluster_Labels,Farm_Gate_Per_Capita,Logistics_Processing_Per_Capita,Consumer_Retail_Per_Capita,Industrial_Per_Capita,Total_Food_System_Per_Capita
Albania,2929244.3636363638,1689.96,433.71,960.5,1689.11,4773.28,35.4,9.09,20.12,35.39,3,0.58,0.15,0.33,0.58,1.64
Algeria,39797360.54545455,5427.23,7437.25,28771.43,16962.53,58598.44,9.26,12.69,49.1,28.95,1,0.14,0.19,0.72,0.42,1.47
Angola,27949889.545454547,5867.55,1127.01,3865.07,2082.29,12941.92,45.34,8.71,29.86,16.09,1,0.21,0.04,0.14,0.07,0.46
Antigua and Barbuda,99908.90909090909,282.85,444.57,86.8,1826.0,2640.23,10.71,16.84,3.29,69.16,0,2.83,4.45,0.87,18.3,26.45
Argentina,43394202.45454545,52313.8,15940.88,23484.97,19408.52,111148.17,47.07,14.34,21.13,17.46,1,1.21,0.37,0.54,0.45,2.57
Armenia,2910572.3636363638,1005.6,496.28,968.14,1627.06,4097.08,24.54,12.11,23.63,39.71,3,0.35,0.17,0.33,0.56,1.41
Australia,23789284.90909091,45141.28,24169.66,24595.87,32372.79,126279.61,35.75,19.14,19.48,25.64,1,1.9,1.02,1.03,1.36,5.31
Austria,8638621.909090908,5135.84,3858.48,4007.31,29779.31,42780.93,12.0,9.02,9.37,69.61,0,0.59,0.45,0.46,3.45,4.95
Azerbaijan,9594681.636363637,4263.05,1786.22,4681.89,1945.06,12676.21,33.63,14.09,36.93,15.34,1,0.44,0.19,0.49,0.2,1.32
Bahamas,385590.7272727273,372.66,382.41,509.0,1487.01,2751.09,13.55,13.9,18.5,54.05,3,0.97,0.99,1.32,3.86,7.14
Bahrain,1423947.2727272727,364.53,970.35,1925.05,3998.11,7258.04,5.02,13.37,26.52,55.09,3,0.25,0.68,1.36,2.82,5.11
Bangladesh,161072383.36363637,69316.06,4042.64,20506.66,3783.79,97649.14,70.98,4.14,21.0,3.87,2,0.43,0.03,0.13,0.02,0.61
Barbados,283958.8181818182,308.05,392.26,356.39,855.42,1912.12,16.11,20.51,18.64,44.74,3,1.08,1.38,1.25,3.02,6.73
Belarus,9464784.0,50867.26,3765.97,4329.89,27266.91,86230.03,58.99,4.37,5.02,31.62,2,5.37,0.4,0.46,2.88,9.11
Belgium,11287543.181818182,6936.53,6177.67,5646.12,19670.27,38430.59,18.05,16.07,14.69,51.18,3,0.61,0.55,0.5,1.74,3.4
Belize,359543.7272727273,301.18,324.71,274.86,5650.43,6551.17,4.6,4.96,4.2,86.25,0,0.84,0.91,0.77,15.79,18.31
Benin,10610416.363636363,1763.34,597.63,1284.28,766.67,4411.93,39.97,13.55,29.11,17.38,1,0.17,0.06,0.12,0.07,0.42
Bhutan,784892.3636363636,191.76,328.9,156.97,4470.68,5148.31,3.72,6.39,3.05,86.84,0,0.25,0.42,0.2,5.7,6.57
Bolivia (Plurinational State of),10727428.727272727,8504.63,2963.52,5277.77,48212.02,64957.95,13.09,4.56,8.12,74.22,0,0.79,0.28,0.49,4.48,6.04
Bosnia and Herzegovina,3572134.727272727,1351.76,1013.82,1974.83,2254.67,6595.09,20.5,15.37,29.94,34.19,3,0.38,0.28,0.55,0.63,1.84
Botswana,2211574.6363636362,2168.68,396.0,852.74,427.27,3844.69,56.41,10.3,22.18,11.11,2,0.99,0.18,0.39,0.19,1.75
Brazil,205699333.9090909,152936.63,36067.26,116850.42,67961.78,373816.09,40.91,9.65,31.26,18.18,1,0.74,0.18,0.57,0.33,1.82
Brunei Darussalam,417019.0,424.38,279.47,818.58,5912.03,7434.46,5.71,3.76,11.01,79.52,0,1.02,0.67,1.96,14.22,17.87
Bulgaria,7174458.818181818,3266.61,1933.68,2545.24,6246.49,13992.02,23.35,13.82,18.19,44.64,3,0.46,0.27,0.35,0.88,1.96
Burundi,10267399.727272727,4056.21,341.07,1386.51,431.99,6215.79,65.26,5.49,22.31,6.95,2,0.4,0.03,0.14,0.04,0.61
Cabo Verde,533715.0909090909,321.74,299.4,153.95,987.02,1762.11,18.26,16.99,8.74,56.01,3,0.6,0.56,0.29,1.86,3.31
Cambodia,15513294.090909092,16236.13,1832.45,2605.91,2462.09,23136.57,70.18,7.92,11.26,10.64,2,1.05,0.12,0.17,0.15,1.49
Canada,35924429.90909091,76244.16,27280.34,20319.6,84343.62,208187.71,36.62,13.1,9.76,40.51,3,2.12,0.76,0.57,2.34,5.79
Central African Republic,4610360.2727272725,2859.94,295.47,765.54,1770.59,5691.54,50.25,5.19,13.45,31.11,2,0.62,0.06,0.17,0.38,1.23
Chad,14036235.181818182,19133.39,678.81,1736.09,496.18,22044.46,86.79,3.08,7.88,2.25,2,1.35,0.05,0.12,0.04,1.56
Chile,17751536.272727273,5879.13,4024.74,12280.18,5871.24,28055.29,20.96,14.35,43.77,20.93,1,0.33,0.23,0.69,0.33,1.58
China,1426343729.8181818,534077.97,444991.29,684834.16,1717966.34,3381869.76,15.79,13.16,20.25,50.8,3,0.37,0.31,0.48,1.2,2.36
"China, Hong Kong SAR",7265573.7272727275,51.18,1008.32,10606.2,1872.21,13537.91,0.38,7.45,78.34,13.83,1,0.01,0.14,1.46,0.26,1.87
"China, Taiwan Province of",23476725.545454547,6409.04,10339.78,21211.7,31935.56,69896.09,9.17,14.79,30.35,45.69,3,0.27,0.44,0.9,1.36,2.97
"China, mainland",1395003646.909091,527581.18,433831.0,657737.57,1684568.22,3303717.97,15.97,13.13,19.91,50.99,3,0.38,0.31,0.47,1.21,2.37
Colombia,48165795.81818182,20995.03,7762.58,18875.5,10127.32,57760.43,36.35,13.44,32.68,17.53,1,0.44,0.16,0.39,0.21,1.2
Comoros,778255.3636363636,229.01,290.09,80.81,4102.87,4702.77,4.87,6.17,1.72,87.24,0,0.29,0.37,0.1,5.31,6.07
Congo,5015137.090909091,3185.01,309.38,448.49,2730.5,6673.38,47.73,4.64,6.72,40.92,3,0.64,0.06,0.09,0.55,1.34
Costa Rica,4802864.454545454,1195.06,968.72,1826.63,1375.95,5366.36,22.27,18.05,34.04,25.64,1,0.25,0.2,0.38,0.29,1.12
Croatia,4230263.7272727275,2359.46,1218.08,1637.2,5197.88,10412.62,22.66,11.7,15.72,49.92,3,0.56,0.29,0.39,1.23,2.47
Cuba,11438222.909090908,6795.4,695.97,5083.78,1965.33,14540.47,46.73,4.79,34.96,13.52,1,0.59,0.06,0.44,0.17,1.26
Cyprus,1161293.1818181819,640.37,364.84,604.03,1785.36,3394.6,18.86,10.75,17.79,52.59,3,0.55,0.31,0.52,1.53,2.91
Czechia,10600639.818181818,4631.97,4459.33,7150.19,10260.69,26502.17,17.48,16.83,26.98,38.72,3,0.44,0.42,0.67,0.97,2.5
Democratic People's Republic of Korea,25232065.0,5040.52,513.61,7809.86,11632.3,24996.29,20.17,2.05,31.24,46.54,3,0.2,0.02,0.31,0.46,0.99
Denmark,5682782.181818182,10590.24,2802.97,2069.59,5139.49,20602.28,51.4,13.61,10.05,24.95,2,1.87,0.49,0.37,0.91,3.64
